,names,scores,logfoldchanges,pvals,pvals_adj,log_pval,comparison
0,Gfap,119.552864,2.9610136,0.0,0.0,inf,cc-out_vs_cc_in
1,Fam107a,101.27785,2.9669805,0.0,0.0,inf,cc-out_vs_cc_in
2,Acsbg1,78.53255,2.523039,0.0,0.0,inf,cc-out_vs_cc_in
3,Slc17a7,74.49193,3.0451143,0.0,0.0,inf,cc-out_vs_cc_in
4,Id4,73.92409,2.4376993,0.0,0.0,inf,cc-out_vs_cc_in
5,Ppp1r1b,72.16416,2.4649866,0.0,0.0,inf,cc-out_vs_cc_in
6,Hopx,59.005,2.0670712,0.0,0.0,inf,cc-out_vs_cc_in
7,Lhx2,57.005997,2.0716617,0.0,0.0,inf,cc-out_vs_cc_in
8,Id2,55.18266,1.9656293,0.0,0.0,inf,cc-out_vs_cc_in
9,Sox9,54.798534,1.9768964,0.0,0.0,inf,cc-out_vs_cc_in
10,Thbs4,51.901108,1.8723341,0.0,0.0,inf,cc-out_vs_cc_in
11,Sstr1,51.604027,2.3946242,0.0,0.0,inf,cc-out_vs_cc_in
12,Serpine2,51.467922,1.740938,0.0,0.0,inf,cc-out_vs_cc_in
13,Aldh1l1,49.826725,1.763963,0.0,0.0,inf,cc-out_vs_cc_in
14,Lpar1,48.02133,1.4359503,0.0,0.0,inf,cc-out_vs_cc_in
15,Gja1,45.92007,1.6834174,0.0,0.0,inf,cc-out_vs_cc_in
16,Slc9a3r1,45.652386,1.5966552,0.0,0.0,inf,cc-out_vs_cc_in
17,Ptk2b,45.279873,2.0370026,0.0,0.0,inf,cc-out_vs_cc_in
18,Hs3st4,44.868362,2.2229528,0.0,0.0,inf,cc-out_vs_cc_in
19,Pcp4l1,44.86764,1.7715975,0.0,0.0,inf,cc-out_vs_cc_in
20,Sv2b,44.63952,2.261158,0.0,0.0,inf,cc-out_vs_cc_in
21,Fgf1,44.394905,1.3797569,0.0,0.0,inf,cc-out_vs_cc_in
22,Ctss,44.046436,1.8251327,0.0,0.0,inf,cc-out_vs_cc_in
23,Slc38a1,43.638004,1.6791694,0.0,0.0,inf,cc-out_vs_cc_in
24,Stac2,43.515114,2.7411993,0.0,0.0,inf,cc-out_vs_cc_in
25,Ccnd2,42.405796,2.039611,0.0,0.0,inf,cc-out_vs_cc_in
26,Ntsr2,42.197346,1.5337664,0.0,0.0,inf,cc-out_vs_cc_in
27,Ighm,41.67483,1.4583954,0.0,0.0,inf,cc-out_vs_cc_in
28,Pla2g7,41.297943,1.4957014,0.0,0.0,inf,cc-out_vs_cc_in
29,Marcksl1,40.329674,1.2381114,0.0,0.0,inf,cc-out_vs_cc_in
30,Cxcl14,40.2337,1.6357242,0.0,0.0,inf,cc-out_vs_cc_in
31,Aqp4,39.405327,1.4277706,0.0,0.0,inf,cc-out_vs_cc_in
32,Fgf13,38.41427,2.4661207,0.0,0.0,inf,cc-out_vs_cc_in
33,Satb1,38.225536,1.5612277,0.0,0.0,inf,cc-out_vs_cc_in
34,Nfia,37.609066,1.1844198,1.52826057333833e-309,3.6125478659125157e-308,308.8158025908422,cc-out_vs_cc_in
35,Sox11,36.8463,1.9226217,3.352230068303124e-297,7.759015845593273e-296,296.47466618277275,cc-out_vs_cc_in
36,Syt17,36.731037,1.8699833,2.334853496242571e-295,5.29392292719489e-294,294.63174036467797,cc-out_vs_cc_in
37,Adcy2,36.3853,1.4866153,7.271563453310054e-290,1.615741399325494e-288,289.13837220177584,cc-out_vs_cc_in
38,Thrsp,36.261086,1.4425716,6.646635715116967e-288,1.4479239763715587e-286,287.17739812312897,cc-out_vs_cc_in
39,Nr2f1,36.03034,1.5707937,2.8026854308915214e-284,5.988045218693231e-283,283.55242564405006,cc-out_vs_cc_in
40,Gpr37l1,35.115,1.3508682,3.979272499862891e-270,7.894592405977985e-269,269.4001963194275,cc-out_vs_cc_in
41,Rgs5,34.22716,1.598919,9.539794978986552e-257,1.859423196781414e-255,256.02046095867655,cc-out_vs_cc_in
42,S1pr1,32.560047,1.2493019,1.5091690731441672e-232,2.890839379764086e-231,231.82126210321954,cc-out_vs_cc_in
43,Gsta4,32.54951,1.7416834,2.1275567656537572e-232,4.0062975705785154e-231,231.6721188436141,cc-out_vs_cc_in
44,Vgf,32.009335,2.4412131,8.086189054398953e-225,1.4972926732395395e-223,224.0922561091163,cc-out_vs_cc_in
45,Syndig1l,31.518976,2.2312403,4.774095449245253e-218,8.554871038889477e-217,217.3211089023242,cc-out_vs_cc_in
46,Coro1a,31.388968,1.7313269,2.861894209590336e-216,5.04692772516645e-215,215.54334642404945,cc-out_vs_cc_in
47,Penk,31.331627,1.861694,1.7314158258744026e-215,2.9593892039176327e-214,214.76159861716496,cc-out_vs_cc_in
48,Ucp2,30.901533,1.3392111,1.1391134042117011e-209,1.9175075637563636e-208,208.94343303766655,cc-out_vs_cc_in
49,Igfbp4,30.83175,1.7083803,9.840129028710255e-209,1.631699007596581e-207,208.0069992068441,cc-out_vs_cc_in
50,Caln1,30.813171,2.2423224,1.7456823504341305e-208,2.852136899018116e-207,207.7580347789604,cc-out_vs_cc_in
51,Meis2,30.805954,1.3411198,2.1809142256253823e-208,3.511587977782318e-207,207.66136141469187,cc-out_vs_cc_in
52,Slc32a1,30.549726,2.372878,5.702211091564629e-205,9.050223603897576e-204,204.243956709474,cc-out_vs_cc_in
53,Lrrc10b,30.256659,2.1817508,4.2644348566112674e-201,6.672939613655096e-200,200.37013851547368,cc-out_vs_cc_in
54,Gabbr2,28.893574,2.1876183,1.437882023495114e-183,2.2187318445875994e-182,182.8422767458356,cc-out_vs_cc_in
55,Pde1a,28.781698,2.034242,3.635204693743277e-182,5.532482759929836e-181,181.43947112954766,cc-out_vs_cc_in
56,Bcl11a,28.588825,2.124131,9.251852149192245e-180,1.3705076983670112e-178,179.0337713161633,cc-out_vs_cc_in
57,Kcnh3,28.302246,2.6475368,3.2427965791843594e-176,4.7404565782550307e-175,175.48908029379038,cc-out_vs_cc_in
58,Gad2,27.954031,2.0874279,5.888922519274495e-172,8.387939639633288e-171,171.22996415966793,cc-out_vs_cc_in
59,Mef2c,27.812504,1.5704737,3.062499898476697e-170,4.253046734009513e-169,169.51392391702447,cc-out_vs_cc_in
60,Neurod2,27.49024,2.3819964,2.2968222633270702e-166,3.150332758711574e-165,165.63887261083147,cc-out_vs_cc_in
61,Nbl1,27.46628,1.5396967,4.440663645668674e-166,6.016557695534021e-165,165.35255212085067,cc-out_vs_cc_in
62,Sox1,26.646544,1.3362362,1.9625975394668833e-156,2.5957688885091754e-155,155.70716874997146,cc-out_vs_cc_in
63,Rorb,26.593142,1.4767798,8.148666970338944e-156,1.0650787063584195e-154,155.0889134311099,cc-out_vs_cc_in
64,Etv1,26.542868,0.94598615,3.104394745484251e-155,4.010444839805817e-154,154.50802306032446,cc-out_vs_cc_in
65,Arhgef26,26.454828,1.2699596,3.210703329832407e-154,4.100105056831959e-153,153.4933998215494,cc-out_vs_cc_in
66,Sox21,26.193563,1.4405098,3.146296704170726e-151,3.927568132959187e-150,150.50220032465356,cc-out_vs_cc_in
67,Unc13c,24.923605,1.619381,4.1284666854078514e-137,5.0963627638756926e-136,136.3842112155859,cc-out_vs_cc_in
68,Scn4b,24.797056,2.371398,9.64481736327188e-136,1.1775156143511054e-134,135.0157059918536,cc-out_vs_cc_in
69,Nxph3,24.675665,2.055106,1.9521361722388908e-134,2.3574166166928344e-133,133.709489891183,cc-out_vs_cc_in
70,Egr3,24.622585,2.183087,7.2388152596443865e-134,8.647659949962273e-133,133.1403325067727,cc-out_vs_cc_in
71,Ntrk3,24.619505,1.3063912,7.810165242635458e-134,9.230950621880846e-133,133.10733977749203,cc-out_vs_cc_in
72,Emx2,24.597061,1.1398987,1.3580323407758382e-133,1.5881830848441646e-132,132.86708988745372,cc-out_vs_cc_in
73,Gda,24.45958,0.97041905,3.979895333604635e-132,4.605899703786198e-131,131.40012834919156,cc-out_vs_cc_in
74,Mfge8,23.933123,0.8598122,1.385076005893237e-126,1.5702239209667205e-125,125.85852639408377,cc-out_vs_cc_in
75,Cplx3,23.471067,1.9390651,8.056676689401942e-122,9.041381618106624e-121,121.09384406403697,cc-out_vs_cc_in
