,AD,AMd,AMv,AV,CL,CM,IAD,IAM,IGL,IMD,LD,LGv,LH,LP,MD,MGd,MGm,MGv,MH,PCN,PF,PIL,PO,POL,PP,PR,PT,PVT,PoT,RE,RH,RT,SGN,SMT,SPA,SPFm,SPFp,VAL,VM,VPL,VPLpc,VPM,VPMpc,Xi
ACAd,0.0001524485061655189,0.0006636441681377168,0.0007707939403962823,0.0004798992932225811,0.0006013994992929772,0.00015447741803841734,0.0005344687684519662,0.00040734296396281126,5.5603081167748415e-05,7.5429588702096e-05,0.0004885009962120097,8.38574889646017e-05,0.00010224678403222185,0.0002879467793550079,0.0002686015088346812,5.937334308537073e-06,9.80622868922172e-05,1.4430683455954377e-05,5.864604573668143e-06,0.00012940427200449386,0.00033241873522733394,9.376408121675861e-05,0.00015887912106954367,0.0001941060327459939,5.3752942898247514e-05,0.00034531258148392917,0.00010341926693462789,6.1292020080135e-05,0.0002195684296130034,0.00024461829567041707,0.0003229487867512164,0.0003360785057701585,3.9337262986094733e-05,0.00033480670303717307,0.00024370424595342917,0.0003614838793714353,0.00048306003024943403,0.0004245749415770691,0.000481924214801013,0.0001605415206912625,0.00024217222073535623,3.8509612190788446e-05,0.00015287593265442837,0.0003092366123251408
ACAv,0.00019236244628193742,0.0007463808739669005,0.0008202371668125239,0.00047359452178320413,0.0005334950922609127,0.00015804178425577608,0.000577123371907356,0.0004616681153700835,8.32212551855237e-05,0.00010624688072908887,0.0005176283740309131,0.00010722156228518865,0.00015310112904045028,0.0002963431442747029,0.0002601064501051598,5.993638095435262e-06,9.19094644865623e-05,1.400557103429691e-05,1.969889556134361e-05,7.747109626183794e-05,0.00030656878945897536,9.02391847211659e-05,0.00010225544209055578,0.00017434814066170698,5.7768346010549504e-05,0.0005336463265535867,0.00023379785155811157,0.0001621171570218175,0.0001975128056832923,0.000365011773528158,0.00035549552374750944,0.0003314977035307706,3.647584643554162e-05,0.0003417350678206495,0.0003457437241566417,0.0005059341824833813,0.00045309579216513377,0.00031368396088706673,0.0004352447522981683,0.00013341807956128625,0.00024147974724027588,2.487206375923283e-05,0.0001588893149921313,0.000434266372558821
AId,7.619522880553559e-06,6.691809874308818e-05,0.00012287776736232627,1.0137301366228523e-05,9.876310799258103e-05,0.00030494738273729023,6.229741710714367e-05,7.161324406217461e-05,1.0043249348044624e-06,0.0005153220388166592,4.24983108512496e-06,4.184992708707352e-07,2.7346113652650217e-05,6.1976388228060655e-06,0.000422340261336005,4.138417376050217e-06,9.269952837710504e-06,3.6414575856116145e-06,1.1400380881120745e-06,0.0004909851242535743,0.0002923656774409428,4.5439447192455134e-05,0.00021257026824966142,2.934525604067916e-05,6.6085912947250285e-06,7.168792515683786e-05,3.6477084018193976e-05,5.087196751905886e-05,9.930714322994565e-05,4.118779348425183e-05,0.0002290539976052159,0.0001370682505704342,1.2123486917567555e-06,0.0003431703525477252,0.00015594417332547134,5.206137748303201e-05,0.00014732188524498065,0.0002663331641775246,0.0003047504737445954,5.194950425682713e-05,0.0004872966740715418,0.00016812931562703998,0.00067759867386437,4.451510072084452e-05
AIp,9.846762818127898e-06,1.3836400842230196e-05,2.0672236095258545e-05,1.0418257722381099e-06,4.443444425576361e-05,0.00015179468780095333,1.8396287507103087e-05,2.468684759183862e-05,1.8185215548650035e-06,0.00030879093653085057,2.0122609557108306e-06,1.4054994673266436e-06,1.2773586074627088e-05,1.9900718348021196e-05,0.00012186446779748933,1.8333459803934455e-05,0.00010612291228822749,3.540615567730101e-05,1.8983768728550995e-06,0.00018227290330966506,0.00022158287760737933,0.00017447762393734293,0.00023688492215128803,5.808545853066145e-05,0.00010812340957315741,8.883050216379429e-05,3.5710325962067365e-05,0.00011166148527104423,0.00026559599500084195,5.680546116781553e-05,0.000125207094440881,6.16992607455168e-05,3.328355896677226e-05,0.0001117246866754641,0.0001505960749019644,6.663952284778644e-05,0.00024087084956404833,5.0116495958594606e-05,0.00010546376412834539,8.799306678244312e-05,0.0010745057534121854,0.00016057617891741067,0.0008970548700976235,8.109869647449148e-05
AIv,5.887578038985283e-06,4.837233089629676e-05,8.823841006929187e-05,5.824439421417121e-06,5.617854704389752e-05,0.0003050938349566485,4.651523269529407e-05,5.8720435016256206e-05,9.865554999141553e-07,0.000660995271455398,2.572957770862819e-06,4.0327912306138113e-07,2.699298039122058e-05,3.744213068657307e-06,0.00044093777645966227,5.092189981676915e-06,8.02773737025373e-06,4.308975660602107e-06,9.041835457943794e-07,0.0004074413641126208,0.0002497149818438413,4.5519882504541547e-05,0.00014409216536685968,1.8940024653961268e-05,4.657730927169098e-06,6.51989097430972e-05,3.049505683299743e-05,6.205587748113048e-05,7.676982717785179e-05,3.650209330627153e-05,0.0002070770226253508,0.00010681661264263267,1.1551214355510124e-06,0.0002872272878483721,0.00019081200264097343,5.1644803984170914e-05,0.00012698242116175373,0.00015475141161898486,0.0002542895424029872,3.739927646288692e-05,0.0005321095053421218,0.00012290111697852582,0.0007926928373132772,4.349116328925191e-05
AUDd,8.007339854829805e-06,5.128747951202459e-06,9.028018733458275e-06,1.4952902429941448e-05,4.3815845404375235e-05,4.447016867655087e-06,3.388965429468434e-06,4.505570480271761e-06,0.00044790013410324776,2.6489843322936637e-06,0.00013740433326863007,0.0003592279009075687,3.924287978822377e-06,0.00045378521936631256,3.972757732709793e-06,0.0013709708191140203,0.0006044557142320311,0.001386465558599999,5.921155329915291e-07,1.1383354113554464e-05,8.224716190049831e-05,0.000671327890985086,0.00010150749107150227,0.0004916247873664601,0.0009965551138913656,2.437459932404107e-05,1.6626134983828022e-06,1.895285348950892e-06,0.000336620191447298,1.1098172255964819e-05,2.1474453186752246e-05,0.00013965329591264007,0.0009708160197486346,3.548722544432434e-05,9.964673122914554e-06,5.5448677141465866e-05,0.00024847151901261544,5.536263725280832e-05,2.69755470358899e-05,0.0001386123487694251,6.394510618835539e-05,0.00012814324092524516,4.5651329031345004e-05,7.773327901762627e-06
AUDp,1.6499509317112935e-05,7.4611103967783145e-06,1.0335466762776867e-05,1.333239471892865e-05,2.8939437610683952e-05,2.623114441707254e-06,5.776069381287322e-06,6.958557401256533e-06,0.0004958735191955286,1.8739505066107565e-06,0.0001348493061558825,0.00042081363434360995,5.615374651773392e-06,0.000548081735399971,2.4445525315987626e-06,0.002030689453313118,0.0006525721264158755,0.0017924016795282413,7.945027508004595e-07,3.3426442227818924e-06,3.574478197274019e-05,0.0006391817691913386,4.4485422514280946e-05,0.0004057511890900206,0.0009757414110358855,2.3622506726385138e-05,5.080006888716028e-06,3.650876737701593e-06,0.0002481720774176181,1.0624944399558796e-05,1.247322254906453e-05,0.00013461842775953163,0.001204355079342138,1.9598701320970774e-05,1.1322769840325965e-05,5.3966990504397244e-05,0.00014892150003044242,2.7682674127677983e-05,1.3305470670529666e-05,9.940196344576958e-05,2.9153398276570544e-05,6.37537913527377e-05,2.8445264998471117e-05,8.47067319856055e-06
AUDpo,3.103780248351877e-05,1.3351128421895115e-05,1.6725089056905903e-05,2.317442777950936e-05,4.043518743265502e-05,1.758500609569043e-06,9.366711618918058e-06,1.0791339317255426e-05,0.0007268359089880621,5.663784406547936e-07,0.00026986315738085803,0.000682843512398576,6.320724880868803e-06,0.0008224930285769404,1.8622567803319616e-06,0.0015557368294665764,0.0005064570564645326,0.0012855045431639826,1.1650238306530392e-06,1.5275199836872378e-06,3.965936039247285e-05,0.0004925300781433528,4.4866869087186156e-05,0.00039053892627874566,0.0008059254425608478,2.556900164565911e-05,6.254633707118679e-06,2.446326646260704e-06,0.0002215150142037245,1.0766084430497754e-05,1.3180522103166415e-05,0.00014669146039462017,0.0010768595608715438,2.2446317907560602e-05,8.209178382739153e-06,5.1610025794750995e-05,0.00013498404238752808,3.713600099848653e-05,1.3947325985172037e-05,9.289303394291575e-05,2.226937369896225e-05,5.1032923209373514e-05,2.008599982465535e-05,6.383956004886112e-06
AUDv,1.530189714657657e-05,6.5458258790156655e-06,9.789404635684385e-06,5.171341850337069e-06,3.0140691624448494e-05,1.275958187738468e-05,7.2621581840768535e-06,8.297537251539716e-06,0.0003023066972085496,1.5201095164864067e-05,5.4632406682091636e-05,0.00024000791294896947,8.720356313665677e-06,0.0003772594103099515,9.569350374976824e-06,0.00215583931932839,0.0006789066308488274,0.0019121992011609434,1.0949242838653634e-06,1.7715720332328893e-05,4.126461391672955e-05,0.0006599090589100646,7.281342403388726e-05,0.0003092268199555066,0.0009084198063225453,3.385340469392235e-05,1.0045712102441092e-05,1.4878934184879697e-05,0.00024170011687075444,2.026801506623722e-05,2.337663284548799e-05,0.00011614498458195194,0.0011386446948954167,2.573378706697183e-05,3.4902283626114686e-05,6.510025558549414e-05,0.00015155639191339525,2.0753136113752006e-05,1.9395751935702688e-05,0.00010233027753227626,7.775523164641353e-05,8.885535680889843e-05,8.173136538959536e-05,2.2461231843233255e-05
ECT,2.5355554870975962e-05,1.1875594067971603e-05,1.830399008611975e-05,5.168327742484744e-06,4.553631451839481e-05,3.751351810864199e-05,1.2528315158162453e-05,1.4650251403059553e-05,0.00017297557264825059,5.601358136764784e-05,5.3975473909284995e-05,0.00015621366119148233,1.6694573850707912e-05,0.0003076266031209275,2.8175190483955913e-05,0.0009813305280580397,0.0003241996532933108,0.0007851338851843518,2.431827555041314e-06,3.694759568495778e-05,6.266554896670553e-05,0.000452855419656131,0.00011398939946340521,0.0001352585292256713,0.0004916101638641733,7.368465361134222e-05,2.1122723963461542e-05,4.4579062143019695e-05,0.00018517596626974132,4.634255863917967e-05,4.908129604778946e-05,6.430310570564397e-05,0.0005847901185037543,5.3388614211070254e-05,9.69014598709133e-05,0.00010033103977045658,0.00015197637082564017,1.5054188615592358e-05,3.8019049794512544e-05,5.117526121962018e-05,0.00014178854110856394,4.383906151022455e-05,0.00019804838953656065,5.3769838454477356e-05
