,names,scores,logfoldchanges,pvals,pvals_adj,log_pval
0,Gfap,86.08724,3.2265644,0.0,0.0,inf
1,Sstr1,66.18908,4.0455546,0.0,0.0,inf
2,Fam107a,63.092552,3.0084774,0.0,0.0,inf
3,Slc17a7,54.65923,3.34946,0.0,0.0,inf
4,Acsbg1,43.139275,2.211851,0.0,0.0,inf
5,Ppp1r1b,40.405678,2.2382264,0.0,0.0,inf
6,Id4,40.176105,2.1537688,0.0,0.0,inf
7,Lpar1,37.22736,1.4426796,2.4635825151370054e-303,1.7106501089482582e-301,302.60843288690296
8,Aldh1l1,31.27182,1.7395965,1.127828596354927e-214,5.966750335953924e-213,213.94775689797103
9,Stac2,30.951385,2.9004087,2.4339026024100154e-210,1.2291208142170577e-208,209.61369680494005
10,Hopx,30.424105,1.8023182,2.6368486138029396e-203,1.2737125260587244e-201,202.57891480311415
11,Lhx2,29.662014,1.711856,2.3739739788916476e-193,1.0144173425187002e-191,192.62452404565343
12,Sox9,29.147932,1.688023,8.873808116710223e-187,3.651407710246318e-185,186.05188996650912
13,Fgf1,29.022057,1.2279277,3.46707599063869e-185,1.375686223428423e-183,184.46003663946465
14,Serpine2,28.957947,1.4941711,2.2289237899586823e-184,8.539083898772745e-183,183.65190478040546
15,Syt17,28.380125,2.274049,3.557538850678387e-177,1.3174752210345627e-175,176.44885034843466
16,Sox11,28.04364,2.1576695,4.775496039408799e-173,1.6579925311822425e-171,172.32098151078407
17,Id2,27.839174,1.5989968,1.4566283114494262e-170,4.759747217706802e-169,169.83665125322648
18,Ccnd2,27.702526,2.0842571,6.509581031229612e-169,2.0663270073417427e-167,168.1864469625348
19,Hs3st4,26.596159,2.113902,7.519451747347073e-156,2.142079715718615e-154,155.12381382320913
20,Gja1,26.318148,1.5406199,1.1888621672919017e-152,3.302064669653257e-151,151.9248684931142
21,Thbs4,25.748898,1.5057327,3.3163202998803575e-146,8.772456793254945e-145,145.47934353066915
22,Sv2b,25.066113,2.1832294,1.1651346434378675e-138,3.0103827647894673e-137,137.93362388448924
23,Marcksl1,25.043152,0.9521327,2.0730779109677008e-138,5.234521725193445e-137,137.6833843758282
24,Ctss,24.751427,1.7121856,2.9925749824872655e-135,7.227719142485547e-134,134.52395495902599
25,Slc9a3r1,24.356636,1.3032119,4.930791639742133e-131,1.1655552152667043e-129,130.30708334904503
26,Pcp4l1,24.019802,1.6633829,1.7271669307265256e-127,3.997671791744104e-126,126.76266568583158
27,Ptk2b,24.012463,1.6580098,2.0607063250828317e-127,4.6723361778918894e-126,126.68598389588874
28,Ntsr2,22.83374,1.3111387,2.1201374247681906e-115,4.529755151764346e-114,114.67363598771078
